Tipo de Delito;enero 2014;febrero 2014;marzo 2014;abril 2014;mayo 2014;junio 2014;julio 2014;agosto 2014;septiembre 2014;octubre 2014;noviembre 2014;diciembre 2014;enero 2015;febrero 2015;marzo 2015;abril 2015;mayo 2015;junio 2015;julio 2015;agosto 2015;septiembre 2015;octubre 2015;noviembre 2015;diciembre 2015;enero 2016;febrero 2016;marzo 2016;abril 2016;mayo 2016;junio 2016;julio 2016;agosto 2016;septiembre 2016;octubre 2016;noviembre 2016;diciembre 2016;enero 2017;febrero 2017;marzo 2017;abril 2017;mayo 2017;junio 2017;julio 2017;agosto 2017;septiembre 2017;octubre 2017;noviembre 2017;diciembre 2017;enero 2018;febrero 2018;marzo 2018;abril 2018;mayo 2018;junio 2018;julio 2018;agosto 2018;septiembre 2018;octubre 2018;noviembre 2018;diciembre 2018;enero 2019;febrero 2019;marzo 2019;abril 2019;mayo 2019;junio 2019;julio 2019;agosto 2019;septiembre 2019;octubre 2019;noviembre 2019;diciembre 2019;enero 2020;febrero 2020;marzo 2020;abril 2020;mayo 2020;junio 2020;julio 2020;agosto 2020;septiembre 2020;octubre 2020;noviembre 2020;diciembre 2020;enero 2021;febrero 2021;marzo 2021;abril 2021;mayo 2021;junio 2021;julio 2021;agosto 2021;septiembre 2021;octubre 2021;noviembre 2021;diciembre 2021;enero 2022;febrero 2022;marzo 2022;abril 2022;mayo 2022;junio 2022;julio 2022;agosto 2022;septiembre 2022;octubre 2022;noviembre 2022;diciembre 2022;enero 2023;febrero 2023;marzo 2023;abril 2023;mayo 2023;junio 2023;julio 2023;agosto 2023
Otros Delitos Contra las Personas;54;0;54;59;32;53;50;42;49;64;51;30;41;34;59;38;49;19;23;30;24;48;48;36;35;56;49;35;33;51;35;33;56;54;57;59;45;48;60;47;43;43;32;37;42;35;48;36;24;30;49;42;32;53;48;43;33;47;91;60;63;63;59;40;41;48;25;40;53;46;62;31;48;53;32;42;38;43;40;43;47;40;51;49;32;53;67;57;39;58;48;66;64;63;56;78;49;63;61;48;50;45;36;37;50;40;66;35;25;30;40;38;58;29;29;61
   Delitos contra el honor;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;2;0;0;1;3;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
   Abuso sexual con acceso carnal (Violación);0;0;1;0;2;0;0;3;1;3;4;0;0;1;1;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;1;5;1;0;3;4;1;5;5;3;2;0;4;0;0;0;0;0;0;0;2;1;0;0;1;6;0;0;0;0;0;0;0;0;2;6;1;1;3;0;0;0;1;1;4;1;3;2;0;4;1;1;2;1;1;1;1;1;0;3;0;3;0;2;3;1;2;3;0;0;8
   Otros delitos contra la integridad sexual;0;0;0;1;2;0;3;3;1;2;2;0;3;1;1;4;2;0;0;0;3;3;0;1;4;5;5;1;5;6;4;6;6;4;6;4;2;3;6;4;8;4;1;2;7;1;0;3;0;1;1;4;6;4;3;6;2;5;19;6;10;10;9;4;7;3;5;3;0;3;3;3;9;17;9;6;6;16;8;1;4;7;6;6;0;11;20;4;7;18;8;13;8;12;6;13;3;8;7;4;2;3;5;6;3;6;10;1;0;3;8;4;6;9;9;7
   Delitos contra el estado civil;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Amenazas;52;0;0;55;27;53;47;36;47;59;44;29;37;31;55;31;45;19;23;28;21;43;46;35;30;47;41;19;28;41;30;26;50;49;45;47;42;45;54;42;35;39;30;31;34;31;41;32;23;25;44;37;21;44;42;35;30;38;70;53;53;53;49;35;34;41;19;37;50;42;53;28;37;33;23;28;31;27;31;39;37;30;43;40;31;39;46;52;31;35;39;50;52;50;45;64;45;52;52;41;45;37;29;31;43;31;50;33;22;22;31;32;49;19;19;45
   Otros delitos contra la libertad;2;0;10;3;1;0;0;0;0;0;1;1;1;1;2;0;1;0;0;2;0;2;1;0;1;4;3;15;0;4;1;1;0;1;6;2;1;0;0;1;0;0;1;2;1;2;2;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;1;1;0;0;0;0;3;0;0;0;2;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;2;3;0;0;1;3;3;1;0;2;0;0;0;1;1;1
Contra la Propiedad;72;74;73;57;55;65;50;54;69;74;78;71;79;73;75;75;68;52;69;59;56;63;61;63;63;80;89;79;84;69;58;59;67;77;73;72;78;75;84;78;83;63;85;59;43;63;79;66;77;48;87;63;67;53;82;65;54;55;80;86;75;75;75;69;98;56;61;100;63;84;90;77;67;96;70;30;44;65;65;60;64;51;66;57;48;66;70;77;75;47;67;78;96;117;72;95;94;110;122;109;110;132;117;162;142;117;109;123;112;96;113;108;106;123;123;131
   Robos (excluye los agravados por el resultado de lesiones y/o muertes);0;0;2;9;6;14;13;6;12;5;10;11;9;10;15;20;12;8;10;11;5;8;5;8;9;6;9;15;12;10;6;4;7;9;13;5;8;7;13;16;8;7;11;9;6;4;4;8;5;8;16;9;10;7;14;7;2;8;9;10;14;14;12;13;7;3;5;13;8;11;7;9;8;12;8;5;6;6;3;3;1;6;4;6;6;2;6;3;5;6;2;6;6;2;7;7;5;9;10;10;3;11;10;13;8;10;8;8;12;8;10;6;8;10;10;1
   Tentativas de robo (excluye las agravadas por el res.de lesiones y/o muertes);0;0;0;2;2;1;1;1;4;1;2;2;4;2;0;0;1;1;3;1;4;3;2;1;2;3;5;2;3;6;2;2;0;2;0;1;1;0;3;5;2;1;0;0;0;2;3;1;1;0;2;1;1;2;1;2;3;0;2;4;1;1;2;2;5;1;1;3;0;0;4;1;0;1;1;2;1;0;1;1;2;1;0;0;2;0;0;0;2;1;2;0;2;0;0;4;1;1;3;0;0;2;0;0;2;2;1;1;1;2;1;1;1;0;0;0
   Robos agravados por el resultado de lesiones y/o muertes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
   Tentativas de robo agravado por el resultado de lesiones y/o muertes;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
   Hurtos;0;0;4;25;23;31;20;15;24;34;33;23;29;31;22;20;22;21;25;26;19;20;22;18;19;31;37;22;16;26;26;24;32;34;26;30;35;34;46;26;33;23;25;34;22;32;41;26;24;18;31;23;29;24;37;28;25;25;29;31;38;38;30;24;46;26;26;31;25;41;41;33;31;33;33;10;11;20;24;27;15;14;26;15;28;31;33;30;18;16;25;28;26;35;29;25;24;32;34;35;46;45;46;48;43;31;39;31;34;20;45;34;39;38;38;50
   Tentativas de hurto;0;0;41;3;2;1;3;6;3;3;2;1;1;0;6;4;2;2;2;5;2;2;3;0;4;5;0;5;2;0;3;5;2;5;2;0;0;3;1;4;1;1;3;0;2;0;3;0;1;0;0;1;0;1;2;0;2;5;1;3;2;2;2;2;6;1;2;2;3;2;3;2;4;5;0;1;7;0;4;1;2;1;2;7;1;4;2;3;2;3;0;3;6;3;5;4;4;1;2;1;5;4;2;20;5;6;3;4;4;1;1;3;4;0;0;5
   Otros delitos contra la propiedad;0;0;0;18;22;18;13;26;26;31;31;34;36;30;32;31;31;20;29;16;26;30;29;36;28;34;38;35;51;27;21;24;26;27;32;36;34;31;21;27;39;31;46;16;13;25;28;31;46;22;37;29;27;19;28;28;22;17;39;38;20;20;29;28;33;25;26;51;27;30;35;32;24;45;28;12;19;39;33;28;44;29;34;29;11;29;29;41;48;21;38;41;56;77;31;55;60;67;73;63;56;70;59;81;84;68;58;79;61;65;55;64;54;73;73;75
Otros Delitos Contra las Personas;31;74;78;91;93;133;106;77;110;81;79;75;69;56;83;57;81;58;50;59;48;61;53;55;56;81;72;63;73;74;90;76;74;48;73;110;106;96;126;75;103;68;126;139;130;88;156;163;158;147;121;125;93;109;103;96;87;76;92;143;112;112;148;97;130;144;151;110;106;89;133;129;128;125;144;224;186;97;118;104;148;115;144;163;101;186;176;129;95;154;88;95;95;93;107;47;43;46;64;73;47;42;65;51;31;41;43;49;35;40;45;38;34;19;19;26
   Delitos contra la seguridad pública;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;7;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;98;77;4;4;6;1;8;4;0;3;0;0;0;24;22;21;25;5;3;3;2;3;1;3;0;0;0;7;1;2;0;0;1;0;1;23;1;1;0;0;5
   Delitos contra el orden público;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;3;0;2;0;0;1;0;2;0;0;0;0;1;0;1;0;0;0;0;1;1;0;2;3;0;0;0;0;0;0;1;1;1;2;1;1;1;0
   Delitos contra la seguridad de la nación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Delitos contra los poderes públicos y el orden constitucional;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;39;17;2;0;2;0;4;1;1;3;0;0;0;0;0;0;0;2;0;0;0;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Delitos contra la administración pública;0;0;1;1;0;2;0;0;0;2;0;1;0;0;3;0;0;3;0;0;0;0;0;0;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;2;1;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;2;2;1;0;0;2;0;2;1;0;3;2;1;1;0;1;1;3;4;0;1;0;0;0;1
   Delitos contra la fe pública;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
   Ley 23.737 (estupefacientes);0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
   Otros delitos previstos en leyes especiales;0;0;70;15;14;8;11;11;12;15;15;8;5;16;3;7;13;4;7;11;2;9;5;1;4;7;9;17;7;8;7;17;20;5;17;20;34;13;21;11;10;17;18;6;23;16;15;11;10;8;17;18;9;0;0;0;2;9;11;15;2;2;13;4;0;12;6;5;1;0;1;3;8;3;5;9;0;0;0;1;6;10;7;12;1;5;47;41;22;29;7;8;0;1;7;3;6;4;4;3;2;2;8;4;1;11;17;7;9;11;4;7;4;0;0;13
   Figuras contravencionales;0;0;0;74;78;123;95;66;96;63;62;64;62;39;75;49;67;51;42;48;42;52;47;54;47;72;62;44;65;65;75;58;54;39;56;88;70;82;104;63;93;51;107;133;105;70;139;152;148;137;104;106;83;108;102;94;84;66;77;127;109;109;134;92;128;129;140;102;102;87;131;126;119;122;119;77;91;91;111;95;138;93;130;147;93;178;128;86;46;102;55;60;84;87;95;41;29;37;51;67;43;32;46;44;27;29;25;38;22;23;17;27;28;18;18;7
   Suicidios (consumados);0;0;0;0;0;0;0;0;2;1;0;0;2;0;2;1;0;0;0;0;0;0;1;0;3;1;0;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;2;1;1;0;0;0;0;1;0;0;0;2;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;2;0;1;1;2;1;1;0;0;2;0;2;1;1;0;1;0;1;0;0;0;0;0;0;0;0
   Delito contra el orden económico y financiero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
